Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Uganda,UGA,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,74.298,74.302,74.241,74.163,74.099,74.029,73.919,73.803,73.661,73.508,73.35,80.156,69.919,84.524,77.206,75.584,73.777,71.759,74.794,77.242,78.009,79.3,80.03,79.998
Uganda,UGA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,80.7900009155273,..,..,..,84.0699996948242,..,..,..,87.4100036621094,..,83.6600036621094,..,80.3000030517578,..,79.7799987792969,..,..,..,..,89.6325197413627,..,89.9400024414062
Uganda,UGA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,11.6414758125187,11.9013889740088,12.202793574555,12.5904136719317,13.1221118400615,13.7907239496723,14.5851520274647,15.494298100139,16.5070641943955,17.6123523369348,18.7990645544572,20.0561028736631,21.372369321253,22.7367659239271,24.1938503391826,24.9777856560427,25.6953567134098,26.4139260579546,27.1280475018884,27.8369781799403,28.5399752271502,29.2362957789022,29.9251969709665,30.6059359395495
Uganda,UGA,Population growth (annual %),SP.POP.GROW,3.14418360294887,3.05906863525199,3.13158750187579,3.15822372497188,2.99944519470383,2.93492118829227,2.92745935131587,2.94106654284048,2.9444861420196,2.94129171098808,2.9438913354304,2.93194913680129,2.90422608403173,2.86955163863091,2.95144499872136,3.07329293941893,3.32192491389275,3.49059590870242,3.39741097582772,3.39132142318772,3.33341751069644,3.21773661761443,3.00759449042677,2.80083228962433
Tanzania,TZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.129,2.994,3.023,3.053,3.105,3.193,3.299,3.023,2.775,2.5,3.03,3.47,3.223,2.93,2.125,2.009,1.931,1.854,1.792,1.735,1.792,1.876,1.573,1.565
Tanzania,TZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.52078463603256,6.07080828734129,7.09319498355502,6.67278983053497,7.50381465859829,7.47631925974784,6.53222138847813,6.76853520293716,5.68641685905224,5.26910524873463,6.33652342666889,7.67215543486064,4.50015356010131,6.78158560065316,6.73246186832483,6.16062877406682,6.86711619644551,6.72726996832438,5.50267599384966,5.79999999996723,1.99196460647855,4.32138429480482,4.56600576430955,5.06952353203394
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,401.698150634766,396.638732910156,402.649047851563,422.18359375,450.385284423828,483.334869384766,475.746734619141,543.198303222656,675.977233886719,693.823547363281,736.530151367188,775.392761230469,861.969909667969,963.05712890625,1022.74841308594,939.127319335938,953.0107421875,986.674011230469,1023.10626220703,1063.32250976563,1117.41528320313,1159.85656738281,1207.52062988281,1224.00219726563
Tanzania,TZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.92396109637479,5.14746800222618,5.31783366118203,5.30356621509782,4.73580143949058,5.03457009267163,7.25097262082546,7.02551436974771,10.2783937621135,12.1422278742988,6.20015595647403,12.6909694699162,16.0010938506338,7.87072364573959,6.13161432988012,5.58816952959298,5.17476629301493,5.31871605228931,3.49445848856181,3.46428057999021,3.29029062798325,3.69091958802199,4.35027204269101,3.79923291384916
Tanzania,TZA,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,86.441,86.438,86.84,87.232,87.614,87.987,88.349,87.864,87.362,86.842,86.305,85.749,85.174,84.58,83.967,83.935,83.894,83.86,83.834,83.811,82.837,83.733,83.77,83.766
Tanzania,TZA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,78.4000015258789,..,..,..,..,..,..,..,..,..,85.9400024414062,..,88.8109499606174,85.7600021362305,..,..,..,..,87.548390753389,..,87.0699996948242,..
Tanzania,TZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.1944164040635,22.5963228653037,23.0306918214565,23.5202087261949,24.0832469119457,24.7061884538741,25.3741033202009,26.0720614791471,26.7851328989335,27.498387547781,28.1968953939105,28.865726405543,29.4878764597911,30.0725108782502,30.6443077170742,31.2061566592472,31.7577303242916,32.2987013317296,32.8287423010834,33.3475258518752,33.8547246036273,34.3500111758619,34.8234736377147,35.4748019434954
Tanzania,TZA,Population growth (annual %),SP.POP.GROW,2.84152432501121,2.70152074754623,2.58850722069614,2.64525638066994,2.71326096371365,2.77513941065557,2.80055623798532,2.79133312179469,2.70285900109119,2.46693695085578,2.54448522649017,2.79985031213535,2.8799437394168,3.01455736724095,3.08040316049107,3.26181042317192,3.40729531415315,3.3414302210835,3.15572113764533,2.98060939385811,2.99305168844906,3.00113934816488,2.95046658393064,2.90250073555304
Rwanda,RWA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.699,11.732,11.432,11.658,11.699,11.842,11.586,11.58,11.517,11.625,11.637,11.756,11.671,11.768,11.837,11.831,11.788,11.875,10.759,11.236,11.829,15.775,15.084,12.352
Rwanda,RWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.37089593573039,8.48456034086699,13.1920736288433,2.2023875095978,7.44766737037035,9.37789916585375,9.22707576994632,7.63329819042882,11.161247324054,6.24825750704265,7.33465645016436,7.95838869909085,8.64150815708138,4.71984856950924,5.66845354233575,8.87036752872743,5.65874584202778,4.70393439751061,8.07084254621641,9.28613387454543,-2.77710485515125,8.41140448646523,9.82497394651698,8.55964292914153
