Country Name,Country Code,Year,GDP growth (annual %),GDP per capita (current US$),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Population growth (annual %),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population)
Ethiopia,ETH,2018,6.81614778557282,739.702022272086,13.8330356586661,73.16,2.69675179524869,2.811,20.7838096618652
Ethiopia,ETH,2019,8.36408573111346,793.473247218996,15.8096321719344,71.573,2.69123978261516,2.928,21.2486705780029
Ethiopia,ETH,2020,6.05953089248577,829.790982552951,20.3563468559061,69.391,2.71077284780816,3.998,21.6260051727295
Ethiopia,ETH,2021,5.64153069324176,893.009835441784,26.8395221557722,68.253,2.67249538803955,3.935,22.1067085266113
Ethiopia,ETH,2022,5.32175988485454,982.103161502198,33.8898797100898,68.472,2.62269500936104,3.386,22.7367687225342
Ethiopia,ETH,2023,6.59424599054353,1055.81091593061,30.2188278135278,68.459,2.6036241976442,3.375,23.0586471557617
Kenya,KEN,2000,0.599695390807426,414.626365130846,9.98002515350979,72.512,3.01293994477925,2.884,19.4553832211834
Kenya,KEN,2001,3.77990649795343,410.700452474814,5.73859814341467,72.633,3.13629206541925,2.876,20.4416297068833
Kenya,KEN,2002,0.546859530175595,402.936385605382,1.96130821739162,72.753,3.14626442047843,2.916,21.8586568137501
Kenya,KEN,2003,2.93247554570904,442.898457253405,9.81569062979654,72.873,3.08528898836117,2.869,23.563889811899
Kenya,KEN,2004,5.10429977629738,463.662781300121,11.6240355442426,72.993,3.10482476419105,2.844,25.4147539714454
Kenya,KEN,2005,5.90666607980057,523.456312433863,10.3127783574683,73.113,3.07223123352542,2.739,27.2686745625048
Kenya,KEN,2006,6.47249430015484,699.80237063381,14.4537342081708,73.232,3.04704867411558,2.673,28.9830768551925
Kenya,KEN,2007,6.85072976998784,840.201439476765,9.75888023027529,73.351,3.02220921188685,2.642,30.4153861196239
Kenya,KEN,2008,0.232282744812977,915.54435473604,26.2398166445063,73.469,3.02964938264436,2.751,31.4230276259143
Kenya,KEN,2009,3.30693981631089,1047.9678324485,9.23412592394652,73.587,3.0211086032266,2.816,31.8603086707305
Kenya,KEN,2010,8.05847360290906,1091.51873101194,3.96138889115385,73.705,2.90158845467743,2.793,31.8713287706458
Kenya,KEN,2011,5.1211061197056,1096.14499807675,14.0224913014704,73.823,2.75013743696978,2.699,31.8673949025409
Kenya,KEN,2012,4.56867961444982,1285.00536171512,9.37777003547598,73.94,2.6080744180495,2.678,31.8558130142761
Kenya,KEN,2013,3.7978483925754,1370.87885214659,5.71749357037733,74.057,2.47210752389349,2.762,31.8324454433988
Kenya,KEN,2014,5.02011100232484,1482.81566253497,6.87815499275949,74.173,2.33901192230694,2.767,31.7931545274563
Kenya,KEN,2015,4.96772112759767,1489.11959777284,6.58215429284779,74.289,2.2270329432256,2.762,31.7338026039958
Kenya,KEN,2016,4.21351706814744,1554.12610314423,6.29724953814625,74.405,2.20775684612709,2.757,31.6502520105647
Kenya,KEN,2017,3.83795817364721,1667.48447230835,8.00564967709945,72.306,2.17412854990493,3.542,31.5383650847102
Kenya,KEN,2018,5.64794640709219,1836.45275528993,4.6898064677633,70.103,2.03083744189606,4.284,31.3940041639796
Kenya,KEN,2019,5.11415885767801,1960.40808854893,5.23963795764792,67.803,1.96381549826771,5.014,31.1895566421135
Kenya,KEN,2020,-0.272766327438816,1927.66459027849,5.40516207933392,67.081,1.96197633664853,5.613,31.2063494632616
